id,fio,probability,subdivision,department,position,is_view
8,Вася 2 Васев 2,87.0,Отдел №1,Департамент №1,Сотрудник отдела,Отслеживается
10,Вася 4 Васев 4,87.0,Отдел №1,Департамент №1,Сотрудник отдела,Отслеживается
18,Наташа 3 Наташева 3,81.0,Отдел №3,Департамент №2,Сотрудник отдела,Не отслеживается
7,Вася 1 Васев 1,73.0,Отдел №1,Департамент №1,Сотрудник отдела,Не отслеживается
20,Наташа 5 Наташева 5,71.0,Отдел №3,Департамент №2,Сотрудник отдела,Не отслеживается
19,Наташа 4 Наташева 4,71.0,Отдел №3,Департамент №2,Сотрудник отдела,Не отслеживается
9,Вася 3 Васев 3,64.0,Отдел №1,Департамент №1,Сотрудник отдела,Не отслеживается
24,Марина 1 Маринова 1,59.0,Отдел №4,Департамент №2,Сотрудник отдела,Не отслеживается
16,Наташа 1 Наташева 1,51.0,Отдел №3,Департамент №2,Сотрудник отдела,Не отслеживается
22,Петя 2 Петров 2,49.0,Отдел №4,Департамент №2,Сотрудник отдела,Не отслеживается
15,Егор 4 Егоров 4,44.0,Отдел №2,Департамент №1,Сотрудник отдела,Не отслеживается
17,Наташа 2 Наташева 2,41.0,Отдел №3,Департамент №2,Сотрудник отдела,Не отслеживается
14,Егор 3 Егоров 3,29.0,Отдел №2,Департамент №1,Сотрудник отдела,Не отслеживается
13,Егор 2 Егоров 2,19.0,Отдел №2,Департамент №1,Сотрудник отдела,Не отслеживается
23,Петя 3 Петров 3,19.0,Отдел №4,Департамент №2,Сотрудник отдела,Не отслеживается
12,Егор 1 Егоров 1,14.0,Отдел №2,Департамент №1,Сотрудник отдела,Не отслеживается
11,Вася 5 Васев 5,11.0,Отдел №1,Департамент №1,Сотрудник отдела,Не отслеживается
21,Петя 1 Петров 1,9.0,Отдел №4,Департамент №2,Сотрудник отдела,Не отслеживается
