id,fio,probability,subdivision,department,position,is_view
778,Александра Князева,45.45,Отдел №1,Департамент №1,Сотрудник отдела,Не отслеживается
597,Полина Жукова,40.91,Отдел №1,Департамент №1,Сотрудник отдела,Не отслеживается
174,Александра Семенова,40.91,Отдел №1,Департамент №1,Сотрудник отдела,Не отслеживается
820,Кирилл Павлов,36.36,Отдел №1,Департамент №1,Сотрудник отдела,Не отслеживается
632,Алена Васильева,36.36,Отдел №1,Департамент №1,Сотрудник отдела,Не отслеживается
806,Семен Фролов,27.27,Отдел №1,Департамент №1,Сотрудник отдела,Не отслеживается
137,Валерия Баранова,27.27,Отдел №1,Департамент №1,Сотрудник отдела,Не отслеживается
786,Ксения Баранова,27.27,Отдел №1,Департамент №1,Сотрудник отдела,Не отслеживается
162,Яна Князева,27.27,Отдел №1,Департамент №1,Сотрудник отдела,Не отслеживается
259,Мирон Соколов,22.73,Отдел №1,Департамент №1,Сотрудник отдела,Не отслеживается
453,Лебедев Андреев,22.73,Отдел №1,Департамент №1,Сотрудник отдела,Не отслеживается
496,Анна Ткачева,22.73,Отдел №1,Департамент №1,Сотрудник отдела,Не отслеживается
154,Альбина Васнецова,22.73,Отдел №1,Департамент №1,Сотрудник отдела,Не отслеживается
679,София Смирнова,22.73,Отдел №1,Департамент №1,Сотрудник отдела,Не отслеживается
376,Владислава Захарова,18.18,Отдел №1,Департамент №1,Сотрудник отдела,Не отслеживается
135,Мария Петрова,18.18,Отдел №1,Департамент №1,Сотрудник отдела,Не отслеживается
270,Борис Капустин,18.18,Отдел №1,Департамент №1,Сотрудник отдела,Не отслеживается
562,Иван Баранов,18.18,Отдел №1,Департамент №1,Сотрудник отдела,Не отслеживается
461,Ангелина Петрова,13.64,Отдел №1,Департамент №1,Сотрудник отдела,Не отслеживается
865,Арина Князева,13.64,Отдел №1,Департамент №1,Сотрудник отдела,Отслеживается
612,Оксана Чернова,13.64,Отдел №1,Департамент №1,Сотрудник отдела,Отслеживается
424,Алина Романова,13.64,Отдел №1,Департамент №1,Сотрудник отдела,Отслеживается
424,Алина Романова,13.64,Отдел №1,Департамент №1,Сотрудник отдела,Не отслеживается
865,Арина Князева,13.64,Отдел №1,Департамент №1,Сотрудник отдела,Отслеживается
627,Федор Панфилов,13.64,Отдел №1,Департамент №1,Сотрудник отдела,Не отслеживается
110,София Шилова,13.64,Отдел №1,Департамент №1,Сотрудник отдела,Не отслеживается
500,Светлана Котова,13.64,Отдел №1,Департамент №1,Сотрудник отдела,Не отслеживается
428,Ольга Михайлова,9.09,Отдел №1,Департамент №1,Сотрудник отдела,Отслеживается
770,Марина Петрова,9.09,Отдел №1,Департамент №1,Сотрудник отдела,Не отслеживается
343,Арина Наумова,9.09,Отдел №1,Департамент №1,Сотрудник отдела,Не отслеживается
537,Ирина Борисова,9.09,Отдел №1,Департамент №1,Сотрудник отдела,Не отслеживается
527,Оксана Григорьева,4.55,Отдел №1,Департамент №1,Сотрудник отдела,Не отслеживается
120,Надежда Наумова,4.55,Отдел №1,Департамент №1,Сотрудник отдела,Не отслеживается
659,Валентина Михайлова,4.55,Отдел №1,Департамент №1,Сотрудник отдела,Не отслеживается
197,Анатолий Чернов,4.55,Отдел №1,Департамент №1,Сотрудник отдела,Не отслеживается
362,Александра Васнецова,4.55,Отдел №1,Департамент №1,Сотрудник отдела,Не отслеживается
706,Лебедь Исаев,4.55,Отдел №1,Департамент №1,Сотрудник отдела,Не отслеживается
311,Анна Котова,0.0,Отдел №1,Департамент №1,Сотрудник отдела,Не отслеживается
379,Виктория Казакова,0.0,Отдел №1,Департамент №1,Сотрудник отдела,Не отслеживается
642,Герман Мартынов,0.0,Отдел №1,Департамент №1,Сотрудник отдела,Не отслеживается
596,Екатерина Захарова,0.0,Отдел №1,Департамент №1,Сотрудник отдела,Не отслеживается
