id,fio,probability,subdivision,department,position,is_view
896,Вероника Михайлова,90.91,Отдел №3,Департамент №2,Сотрудник отдела,Не отслеживается
102,Даниил Артемьев,77.27,Отдел №4,Департамент №2,Сотрудник отдела,Не отслеживается
871,Светлана Комарова,72.73,Отдел №3,Департамент №2,Сотрудник отдела,Не отслеживается
184,Борис Глебов,68.18,Отдел №3,Департамент №2,Сотрудник отдела,Не отслеживается
858,Маргарита Соколова,54.55,Отдел №3,Департамент №2,Сотрудник отдела,Не отслеживается
411,Арина Шилова,54.55,Отдел №4,Департамент №2,Сотрудник отдела,Не отслеживается
238,Денис Щербаков,54.55,Отдел №3,Департамент №2,Сотрудник отдела,Не отслеживается
551,Федор Потапов,54.55,Отдел №3,Департамент №2,Сотрудник отдела,Не отслеживается
407,Владимир Смирнов,50.0,Отдел №4,Департамент №2,Сотрудник отдела,Не отслеживается
809,Алиса Петрова,45.45,Отдел №4,Департамент №2,Сотрудник отдела,Не отслеживается
525,Федор Гордеев,45.45,Отдел №3,Департамент №2,Сотрудник отдела,Не отслеживается
228,Вера Иванова,45.45,Отдел №4,Департамент №2,Сотрудник отдела,Не отслеживается
775,Ангелина Комарова,40.91,Отдел №3,Департамент №2,Сотрудник отдела,Не отслеживается
297,Виктория Жукова,40.91,Отдел №3,Департамент №2,Сотрудник отдела,Не отслеживается
699,Татьяна Захарова,36.36,Отдел №3,Департамент №2,Сотрудник отдела,Не отслеживается
433,Наталья Петрова,36.36,Отдел №4,Департамент №2,Сотрудник отдела,Не отслеживается
261,Арина Михайлова,31.82,Отдел №4,Департамент №2,Сотрудник отдела,Не отслеживается
400,Виктория Комарова,31.82,Отдел №3,Департамент №2,Сотрудник отдела,Не отслеживается
887,Альбина Королева,31.82,Отдел №3,Департамент №2,Сотрудник отдела,Не отслеживается
292,Александра Михайлова,31.82,Отдел №4,Департамент №2,Сотрудник отдела,Не отслеживается
547,Мария Комарова,31.82,Отдел №4,Департамент №2,Сотрудник отдела,Не отслеживается
380,Ангелина Королева,31.82,Отдел №4,Департамент №2,Сотрудник отдела,Не отслеживается
323,Мирон Павлов,31.82,Отдел №3,Департамент №2,Сотрудник отдела,Не отслеживается
714,Наталья Гордеева,31.82,Отдел №3,Департамент №2,Сотрудник отдела,Не отслеживается
159,София Наумова,27.27,Отдел №4,Департамент №2,Сотрудник отдела,Не отслеживается
366,Максим Новиков,27.27,Отдел №4,Департамент №2,Сотрудник отдела,Не отслеживается
106,Арина Сухарева,27.27,Отдел №4,Департамент №2,Сотрудник отдела,Не отслеживается
384,Ольга Артемьева,27.27,Отдел №4,Департамент №2,Сотрудник отдела,Не отслеживается
828,Степан Беляев,27.27,Отдел №4,Департамент №2,Сотрудник отдела,Не отслеживается
298,Валентина Кудряшова,27.27,Отдел №3,Департамент №2,Сотрудник отдела,Не отслеживается
711,Оксана Наумова,27.27,Отдел №4,Департамент №2,Сотрудник отдела,Не отслеживается
673,Екатерина Артемьева,22.73,Отдел №4,Департамент №2,Сотрудник отдела,Не отслеживается
734,Ксения Кудряшова,22.73,Отдел №3,Департамент №2,Сотрудник отдела,Не отслеживается
864,Ирина Комарова,22.73,Отдел №4,Департамент №2,Сотрудник отдела,Не отслеживается
845,Ирина Королева,22.73,Отдел №3,Департамент №2,Сотрудник отдела,Не отслеживается
157,Лариса Иванова,22.73,Отдел №3,Департамент №2,Сотрудник отдела,Не отслеживается
599,Ангелина Мельникова,22.73,Отдел №3,Департамент №2,Сотрудник отдела,Не отслеживается
331,Александра Романова,22.73,Отдел №3,Департамент №2,Сотрудник отдела,Не отслеживается
550,Денис Калашников,18.18,Отдел №3,Департамент №2,Сотрудник отдела,Не отслеживается
332,Елена Григорьева,18.18,Отдел №3,Департамент №2,Сотрудник отдела,Не отслеживается
663,Алеся Борисова,18.18,Отдел №3,Департамент №2,Сотрудник отдела,Не отслеживается
319,Валерия Чернова,18.18,Отдел №3,Департамент №2,Сотрудник отдела,Не отслеживается
294,Борис Исаев,18.18,Отдел №4,Департамент №2,Сотрудник отдела,Не отслеживается
535,Анастасия Сухарева,18.18,Отдел №4,Департамент №2,Сотрудник отдела,Не отслеживается
608,Григорий Лихачев,18.18,Отдел №3,Департамент №2,Сотрудник отдела,Не отслеживается
757,Вероника Мельникова,18.18,Отдел №3,Департамент №2,Сотрудник отдела,Не отслеживается
205,Ульяна Горбунова,18.18,Отдел №4,Департамент №2,Сотрудник отдела,Не отслеживается
132,Татьяна Ткачева,18.18,Отдел №4,Департамент №2,Сотрудник отдела,Не отслеживается
712,Оксана Сухарева,18.18,Отдел №3,Департамент №2,Сотрудник отдела,Не отслеживается
868,София Павлова,18.18,Отдел №3,Департамент №2,Сотрудник отдела,Не отслеживается
789,Оксана Михайлова,18.18,Отдел №3,Департамент №2,Сотрудник отдела,Не отслеживается
859,Ангелина Чернова,18.18,Отдел №3,Департамент №2,Сотрудник отдела,Не отслеживается
385,Владимир Бирюков,13.64,Отдел №4,Департамент №2,Сотрудник отдела,Не отслеживается
